ID,HAIL-SIZE,LAT,LONG,MEM_VAL_X,MEM_VAL_Y,MEMBERSHIP VALUES OF DATA POINT,CONVERGED_TO_PT_X,CONVERGED_TO_PT_Y,FUZZY
0,0.75,32.2,-101.5,0.0957085646306,0.0255962564844,"[0.017110344688116726, 0.10056165577858776, 0.46502931455705987, 0.4172986849762357]",34.4916588342,-98.3539361604,NO
1,0.75,38.58,-92.58,0.0127501390138,0.0147119565277,"[0.3215329808103799, 0.01235817090958434, 0.31149289229801325, 0.3546159559820226]",39.8135363525,-93.5658961765,NO
2,1.5,41.2,-89.68,0.0516927647793,0.126179404918,"[0.1943756773201977, 0.37590781476616636, 0.3146118258669599, 0.11510468204667583]",39.8135363525,-93.5658961765,NO
3,0.75,39.28,-87.4,0.0552033572964,0.359380435414,"[0.33696275020329425, 0.1639579520948252, 0.11651407065218196, 0.3825652270496985]",39.8135363525,-93.5658961765,NO
4,2.5,41.78,-87.78,0.0669024210494,0.286620631092,"[0.3938710092758599, 0.2025955468818705, 0.1476919425795927, 0.255841501262677]",39.8135363525,-93.5658961765,NO
5,2.5,39.5,-90.08,0.0394597844397,0.0964113871556,"[0.19876589685480817, 0.25204066530866037, 0.2367189968243233, 0.3124744410122082]",39.8135363525,-93.5658961765,NO
6,2.5,38.38,-88.0,0.0546148214124,0.299639064921,"[0.5314512098811637, 0.16397827077928687, 0.29246056346809285, 0.012109955871456631]",39.8135363525,-93.5658961765,NO
7,1.0,37.88,-86.08,0.0449562904867,0.565148568067,"[0.029457378921905114, 0.2815126109188187, 0.0733699752112478, 0.6156600349480285]",37.769901522,-80.6895448375,NO
8,0.75,37.88,-86.0,0.0441703962007,0.576581538776,"[0.2000042502213674, 0.17272706844496669, 0.27488296233798026, 0.35238571899568555]",37.769901522,-80.6895448375,NO
9,0.75,38.0,-84.58,0.027842279206,0.767983792324,"[0.5251810932839797, 0.3988177730759742, 0.002091731151210244, 0.07390940248883586]",37.769901522,-80.6895448375,NO
10,0.75,36.5,-79.68,0.0037387288327,0.976798107097,"[0.2988605375330885, 0.2493982127443875, 0.18837920962710034, 0.26336204009542374]",37.769901522,-80.6895448375,NO
11,2.0,36.7,-79.9,0.0025689423183,0.983912552928,"[0.2869053951185538, 0.5874254476383342, 0.11283722592892863, 0.01283193131418339]",37.769901522,-80.6895448375,NO
12,3.0,38.0,-89.0,0.0519893760571,0.200944676834,"[0.25182425619309057, 0.20320045415662236, 0.412730954710185, 0.13224433494010207]",39.8135363525,-93.5658961765,NO
13,1.5,36.2,-78.78,0.00792318037101,0.95255974488,"[0.18014724636386148, 0.47600789635551227, 0.17000943553749628, 0.17383542174312994]",37.769901522,-80.6895448375,NO
14,1.5,39.88,-86.08,0.0501308732799,0.524060905951,"[0.3186640016783218, 0.2906954331611127, 0.18450266697947038, 0.20613789818109518]",37.769901522,-80.6895448375,NO
15,1.0,35.2,-80.9,0.00997590791662,0.934749359244,"[0.12137096273433987, 0.19023061912281844, 0.24417878573966414, 0.44421963240317763]",37.769901522,-80.6895448375,NO
16,0.75,35.28,-80.9,0.00942466866638,0.938330452058,"[0.5951239049340457, 0.02427345185897489, 0.2634127240995311, 0.11718991910744832]",37.769901522,-80.6895448375,NO
17,1.75,33.7,-84.68,0.0442673656482,0.653572895448,"[0.08282916400365813, 0.47250620582350367, 0.30874615673112216, 0.13591847344171612]",37.769901522,-80.6895448375,NO
18,0.75,38.88,-79.78,0.00306288203214,0.981220215907,"[0.34354100816288236, 0.37607390669177343, 0.12871609738856882, 0.15166898775677543]",37.769901522,-80.6895448375,NO
19,1.5,33.7,-84.4,0.0418750240629,0.677641791735,"[0.07649218664298367, 0.40137859462838016, 0.44304295407589844, 0.07908626465273763]",37.769901522,-80.6895448375,NO
20,2.0,33.88,-82.28,0.0252106929376,0.826075362303,"[0.18498370747240134, 0.05230839710158495, 0.46134823768614425, 0.30135965773986934]",37.769901522,-80.6895448375,NO
21,2.0,39.7,-93.18,0.000624854120497,0.000553658186543,"[0.2400200539270399, 0.39222124171879075, 0.09062956577282627, 0.2771291385813431]",39.8135363525,-93.5658961765,NO
22,1.5,39.58,-93.28,0.000571345545883,0.000494529916844,"[0.39859598847729344, 0.19416154750467307, 0.2762079530962515, 0.13103451092178217]",39.8135363525,-93.5658961765,NO
23,1.75,39.7,-94.78,0.0150966324655,0.00803090855237,"[0.2731486650526982, 0.23092658218609569, 0.14862910997628107, 0.347295642784925]",39.8135363525,-93.5658961765,NO
24,1.0,39.78,-94.0,0.00231553992545,0.00157192484946,"[0.3477281870501047, 0.20276522652422505, 0.231817382404896, 0.2176892040207742]",39.8135363525,-93.5658961765,NO
25,0.75,38.28,-96.18,0.0625753873387,0.02424451293,"[0.3987419854229731, 0.29099542764002356, 0.21430947821154972, 0.09595310872545369]",39.8135363525,-93.5658961765,NO
26,3.0,39.38,-94.28,0.00677850747485,0.00433571998267,"[0.6064278469364779, 0.16389347623988754, 0.15899165740648963, 0.07068701941714503]",39.8135363525,-93.5658961765,NO
27,1.0,36.28,-96.5,0.0426624531558,0.0186313224246,"[0.5529608221360037, 0.08756416943226077, 0.11876446301456905, 0.2407105454171667]",34.4916588342,-98.3539361604,NO
